e,n,u
109.29455035649484,-2101.64802722662,-0.3490476884059035
109.29455027224506,-2101.6180410258717,-0.3481378785231186
109.29455017369372,-2101.5780916805,-0.34612546513233156
109.2945500721702,-2101.5282334844455,-0.3423624477353542
109.29454998173763,-2101.4685660194464,-0.33605423251043476
109.29454991732007,-2101.3992445790504,-0.32633116674753637
109.29454988902434,-2101.3204205160546,-0.312664893831311
109.29454990542061,-2101.2322572078,-0.29457536215278424
109.2945499743681,-2101.1349258183,-0.27162758186665314
109.29455010333996,-2101.02860175716,-0.24342839788079118
109.29455029915964,-2100.9134617596933,-0.20962335067349613
109.29455056724078,-2100.789681506429,-0.16989365172190674
109.29455091418416,-2100.657433693617,-0.1239532962565022
109.29455134435024,-2100.5168865123132,-0.07154633391832022
109.29455186111755,-2100.3682024527893,-0.012444297369540891
