ref_pos_lat (deg),ref_pos_lon (deg),ref_pos_alt (m)
1.098100009040286906e+01,7.300100000000000477e+01,4.999979166692709566e-05
1.098100027119052768e+01,7.300100000000000477e+01,3.499885417934890577e-04
1.098100054228048705e+01,7.300100000000000477e+01,1.249853547868359175e-03
1.098100090344455992e+01,7.300100000000000477e+01,3.249020318695492772e-03
1.098100135419384316e+01,7.300100000000000477e+01,6.995505682332610504e-03
1.098100189363047186e+01,7.300100000000000477e+01,1.328393581206556082e-02
1.098100252035312252e+01,7.300100000000000477e+01,2.298401397400085672e-02
1.098100323299509995e+01,7.300100000000000477e+01,3.662415145908524267e-02
1.098100403008083426e+01,7.300100000000000477e+01,5.468445177588467099e-02
1.098100491006424129e+01,7.300100000000000477e+01,7.759996277378101992e-02
1.098100587136072548e+01,7.300100000000000477e+01,1.057638972337182348e-01
1.098100691237357651e+01,7.300100000000000477e+01,1.395307731002997931e-01
1.098100803151553961e+01,7.300100000000000477e+01,1.792194382476919035e-01
1.098100922722621142e+01,7.300100000000000477e+01,2.251159556235425574e-01
1.098101049798585116e+01,7.300100000000000477e+01,2.774763332683282124e-01
1.098101184232614713e+01,7.300100000000000477e+01,3.365290904654973936e-01
1.098101325883836665e+01,7.300100000000000477e+01,4.024776564843182691e-01
1.098101474617934237e+01,7.300100000000000477e+01,4.755026023230174426e-01
1.098101630307559518e+01,7.300100000000000477e+01,5.557637087882818516e-01
1.098101792832594192e+01,7.300100000000000477e+01,6.434018763613715830e-01
1.098101962080282590e+01,7.300100000000000477e+01,7.385408837688163253e-01
1.098102137945259926e+01,7.300100000000000477e+01,8.412890031349308240e-01
1.098102320329497950e+01,7.300100000000000477e+01,9.517404801569718797e-01
1.098102509142180772e+01,7.300100000000000477e+01,1.069976888003272952e+00
1.098102704299528121e+01,7.300100000000000477e+01,1.196068363664100520e+00
1.098102905724575251e+01,7.300100000000000477e+01,1.330074735343605097e+00
1.098103113346923543e+01,7.300100000000000477e+01,1.472046549216355471e+00
1.098103327102466586e+01,7.300100000000000477e+01,1.622026003520919746e+00
1.098103546933100105e+01,7.300100000000000477e+01,1.780047797555071476e+00
1.098103772786422816e+01,7.300100000000000477e+01,1.946139902695198209e+00
1.098104004615432316e+01,7.300100000000000477e+01,2.120324262103787660e+00
1.098104242378218487e+01,7.300100000000000477e+01,2.302617425326660694e+00
1.098104486037659733e+01,7.300100000000000477e+01,2.493031123525647264e+00
1.098104735561125445e+01,7.300100000000000477e+01,2.691572790649777058e+00
1.098104990920182189e+01,7.300100000000000477e+01,2.898246035423676314e+00
1.098105252090311978e+01,7.300100000000000477e+01,3.113051068629050899e+00
1.098105519050636580e+01,7.300100000000000477e+01,3.335985089775844958e+00
1.098105791783655505e+01,7.300100000000000477e+01,3.567042636904924624e+00
1.098106070274992696e+01,7.300100000000000477e+01,3.806215902934191764e+00
1.098106354513156724e+01,7.300100000000000477e+01,4.053495021654603292e+00
1.098106644489311812e+01,7.300100000000000477e+01,4.308868326200943066e+00
1.098106940197059700e+01,7.300100000000000477e+01,4.572322582563428384e+00
1.098107241632236430e+01,7.300100000000000477e+01,4.843843200469133414e+00
1.098107548792716948e+01,7.300100000000000477e+01,5.123414423745533242e+00
1.098107861678233732e+01,7.300100000000000477e+01,5.411019502080893773e+00
1.098108180290206093e+01,7.300100000000000477e+01,5.706640845916364668e+00
1.098108504631578697e+01,7.300100000000000477e+01,6.010260166041188512e+00
1.098108834706672354e+01,7.300100000000000477e+01,6.321858599314112759e+00
1.098109170521044220e+01,7.300100000000000477e+01,6.641416821799622561e+00
1.098109512081355810e+01,7.300100000000000477e+01,6.968915150485843313e+00
1.098109859395253629e+01,7.300100000000000477e+01,7.304333634640765460e+00
1.098110212471254776e+01,7.300100000000000477e+01,7.647652137763819802e+00
1.098110571318642315e+01,7.300100000000000477e+01,7.998850410999747140e+00
1.098110935947369349e+01,7.300100000000000477e+01,8.357908158800352538e+00
