x,y,z
1830761.1462777085,5988523.709667892,1206943.0363817255
1830761.1452501554,5988523.706306707,1206943.056070468
1830761.1438385067,5988523.701689124,1206943.0856793376
1830761.1421875034,5988523.696288599,1206943.1252786876
1830761.1404861398,5988523.690723342,1206943.1749388655
1830761.1389680065,5988523.685757441,1206943.2347137355
1830761.1378913422,5988523.682235612,1206943.3046167942
1830761.13741622,5988523.68068146,1206943.384600285
1830761.1376895204,5988523.681575441,1206943.4745954303
1830761.1388456267,5988523.68535713,1206943.574517211
1830761.141007153,5988523.692427605,1206943.6842684576
1830761.1442856824,5988523.703151861,1206943.8037433159
1830761.1487825022,5988523.717861214,1206943.9328301614
1830761.1545893243,5988523.73685566,1206944.0714140423
1830761.1617889854,5988523.76040616,1206944.219378696
1830761.1704561159,5988523.788756835,1206944.3766082108
1830761.180657778,5988523.822127052,1206944.542988363
1830761.192454069,5988523.86071339,1206944.7184076959
1830761.2058986912,5988523.904691513,1206944.9027583594
1830761.2210394826,5988523.954217901,1206945.0959367577
1830761.2379189131,5988524.009431479,1206945.2978440297
1830761.2565745476,5988524.070455118,1206945.5083863852
1830761.2770394727,5988524.137397051,1206945.7274753284
1830761.2993426942,5988524.210352155,1206945.9550277833
1830761.3235095025,5988524.289403157,1206946.190966134
1830761.3495618084,5988524.374621731,1206946.4352182024
1830761.3775184567,5988524.466069515,1206946.6877171732
1830761.4073955053,5988524.5637990385,1206946.948401472
1830761.4392064926,5988524.667854585,1206947.2172146153
1830761.4729626735,5988524.778272971,1206947.4941050299
1830761.5086732418,5988524.8950842675,1206947.7790258576
1830761.5463455275,5988525.018312454,1206948.071934742
1830761.5859851853,5988525.147976027,1206948.3727936093
1830761.6275963574,5988525.284088534,1206948.6815684438
1830761.67118183,5988525.426659092,1206948.9982290578
1830761.7167431756,5988525.575692842,1206949.3227488704
1830761.7642808745,5988525.731191355,1206949.655104677
1830761.8137944378,5988525.893153032,1206949.9952764362
1830761.865282509,5988526.061573439,1206950.3432470504
1830761.918742965,5988526.236445627,1206950.6990021646
1830761.974173001,5988526.417760423,1206951.0625299634
1830762.031569212,5988526.605506691,1206951.4338209792
1830762.0909276675,5988526.799671571,1206951.8128679134
1830762.1522439753,5988527.000240697,1206952.1996654584
1830762.215513344,5988527.207198395,1206952.5942101358
1830762.2807306384,5988527.420527871,1206952.996500138
1830762.347890427,5988527.640211355,1206953.40653518
1830762.4169870296,5988527.866230266,1206953.8243163642
1830762.4880145572,5988528.098565344,1206954.2498460445
1830762.5609669504,5988528.337196766,1206954.6831277083
1830762.6358380113,5988528.58210426,1206955.1241658607
1830762.7126214358,5988528.8332672035,1206955.5729659165
1830762.7913108403,5988529.0906647155,1206956.0295341015
1830762.8718997857,5988529.354275733,1206956.4938773597
1830762.9543818014,5988529.624079093,1206956.9660032683
1830763.0387504052,5988529.900053589,1206957.4459199563
1830763.1249991192,5988530.182178032,1206957.9336360304
1830763.2131214875,5988530.470431305,1206958.4291605097
1830763.3031110922,5988530.764792413,1206958.9325027599
1830763.3949615625,5988531.065240519,1206959.4436724377
1830763.4886665887,5988531.3717549825,1206959.9626794364
1830763.5842199319,5988531.684315397,1206960.489533838
1830763.6816154325,5988532.002901612,1206961.0242458682
1830763.7808470165,5988532.327493761,1206961.5668258567
1830763.8819087062,5988532.658072289,1206962.1172842002
1830763.9847946211,5988532.99461796,1206962.6756313278
1830764.0894989865,5988533.3371118875,1206963.2418776725
1830764.1960161359,5988533.685535534,1206963.8160336427
1830764.3043405146,5988534.039870731,1206964.398109597
1830764.4144666838,5988534.400099686,1206964.9881158234
1830764.5263893206,5988534.7662049895,1206965.5860625182
1830764.6401032235,5988535.138169626,1206966.1919597697
1830764.7556033088,5988535.515976966,1206966.805817543
1830764.872884616,5988535.899610784,1206967.4276456642
1830764.991942305,5988536.289055248,1206968.0574538093
1830765.112771658,5988536.684294925,1206968.6952514958
1830765.2353680793,5988537.085314784,1206969.3410480716
1830765.3597270942,5988537.492100186,1206969.994852706
1830765.4858443465,5988537.904636883,1206970.6566743879
1830765.6137156035,5988538.322911028,1206971.3265219168
1830765.7433367465,5988538.746909151,1206972.0044038987
1830765.8747037763,5988539.176618168,1206972.6903287445
1830766.0078128092,5988539.6120253755,1206973.3843046676
1830766.142660074,5988540.053118439,1206974.0863396793
1830766.2792419123,5988540.499885391,1206974.7964415916
1830766.4175547769,5988540.952314628,1206975.5146180142
1830766.557595227,5988541.410394896,1206976.2408763557
1830766.6993599292,5988541.87411529,1206976.975223824
1830766.8428456536,5988542.343465245,1206977.7176674276
1830766.9880492738,5988542.8184345355,1206978.4682139782
1830767.134967761,5988543.299013254,1206979.2268700893
1830767.2835981862,5988543.785191817,1206979.9936421837
1830767.4339377142,5988544.276960954,1206980.7685364916
1830767.5859836037,5988544.774311696,1206981.5515590548
1830767.739733204,5988545.277235373,1206982.34271573
1830767.8951839525,5988545.7857236015,1206983.1420121929
1830768.0523333738,5988546.299768286,1206983.949453939
1830768.2111790758,5988546.819361601,1206984.7650462894
1830768.3717187492,5988547.344495992,1206985.5887943946
1830768.5339458531,5988547.875150065,1206986.4206811388
1830768.696239994,5988548.4060234185,1206987.252418081
1830768.8585977852,5988548.937104978,1206988.0840125452
1830769.021016014,5988549.4683842305,1206988.915471506
1830769.183491631,5988549.999851203,1206989.746801605
1830769.3460217412,5988550.531496426,1206990.5780091654
1830769.5086035968,5988551.063310912,1206991.409100205
1830769.6712345912,5988551.595286133,1206992.2400804537
1830769.8339122466,5988552.127413985,1206993.0709553638
1830769.9966342144,5988552.659686786,1206993.901730124
1830770.159398263,5988553.1920972355,1206994.7324096728
1830770.3222022746,5988553.724638405,1206995.5629987065
1830770.4850442372,5988554.257303715,1206996.3935016957
1830770.6479222418,5988554.790086921,1206997.2239228918
1830770.8108344763,5988555.322982094,1206998.0542663392
1830770.973779219,5988555.855983605,1206998.884535886
1830771.1367548355,5988556.389086104,1206999.7147351913
1830771.2997597735,5988556.9222845165,1207000.544867735
1830771.4627925602,5988557.455574023,1207001.3749368258
1830771.6258517955,5988557.988950045,1207002.2049456115
1830771.7889361512,5988558.522408237,1207003.0348970853
1830771.9520443652,5988559.05594447,1207003.864794092
1830772.1151752386,5988559.589554824,1207004.6946393375
1830772.278327634,5988560.123235578,1207005.5244353947
1830772.441500471,5988560.656983197,1207006.354184709
1830772.6046927222,5988561.190794321,1207007.1838896044
1830772.7679034143,5988561.724665767,1207008.013552293
1830772.931131619,5988562.258594496,1207008.8431748743
1830773.09437646,5988562.792577645,1207009.6727593464
1830773.2576371005,5988563.326612473,1207010.5023076083
1830773.4209127477,5988563.860696391,1207011.331821464
1830773.5842026484,5988564.394826932,1207012.1613026285
1830773.747506087,5988564.929001757,1207012.990752733
1830773.910822384,5988565.4632186415,1207013.8201733269
1830774.074150894,5988565.997475477,1207014.6495658816
1830774.2374910042,5988566.531770255,1207015.4789317986
1830774.4008421323,5988567.066101075,1207016.3082724072
1830774.5642037245,5988567.600466124,1207017.137588971
1830774.7275752563,5988568.134863684,1207017.9668826929
1830774.8909562281,5988568.669292124,1207018.7961547135
1830775.0543461659,5988569.203749893,1207019.6254061183
1830775.21774462,5988569.738235518,1207020.454637938
1830775.3811511623,5988570.2727476,1207021.2838511525
1830775.5445653866,5988570.8072848115,1207022.1130466927
1830775.7079869078,5988571.341845891,1207022.9422254441
1830775.8714153583,5988571.876429636,1207023.7713882467
1830776.0348503906,5988572.411034912,1207024.6005358996
1830776.1982916729,5988572.94566063,1207025.429669161
1830776.3617388927,5988573.480305771,1207026.2587887542
1830776.5251917506,5988574.014969355,1207027.0878953629
1830776.6886499627,5988574.549650451,1207027.916989638
1830776.852113261,5988575.084348186,1207028.7460722
1830777.0155813883,5988575.619061717,1207029.575143635
1830777.1790541026,5988576.153790252,1207030.404204503
1830777.3425311723,5988576.688533034,1207031.2332553337
1830777.506012379,5988577.223289348,1207032.0622966327
1830777.6694975137,5988577.75805851,1207032.8913288775
1830777.8329863793,5988578.292839876,1207033.7203525247
